gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,average_score
female,group B,bachelor's degree,standard,none,72,72,74,72.0
female,group C,some college,standard,completed,69,90,88,82.0
female,group B,master's degree,standard,none,90,95,93,92.0
female,group B,associate's degree,standard,none,71,83,78,77.0
female,group B,some college,standard,completed,88,95,92,91.0
female,group B,high school,free/reduced,none,38,60,50,49.0
female,group B,high school,standard,none,65,81,73,73.0
female,group A,master's degree,standard,none,50,53,58,53.0
female,group C,some high school,standard,none,69,75,78,74.0
female,group B,some high school,free/reduced,none,18,32,28,26.0
female,group C,associate's degree,free/reduced,none,54,58,61,57.0
female,group B,some college,free/reduced,completed,65,75,70,70.0
female,group C,some high school,standard,none,69,73,73,71.0
female,group C,bachelor's degree,standard,none,67,69,75,70.0
female,group D,master's degree,standard,none,62,70,75,69.0
female,group D,some college,standard,none,69,74,74,72.0
female,group B,some college,standard,none,63,65,61,63.0
female,group E,master's degree,free/reduced,none,56,72,65,64.0
female,group D,associate's degree,standard,none,74,81,83,79.0
female,group D,some high school,free/reduced,none,50,64,59,57.0
female,group D,associate's degree,free/reduced,completed,75,90,88,84.0
female,group C,associate's degree,standard,none,58,73,68,66.0
female,group B,associate's degree,standard,none,53,58,65,58.0
female,group E,associate's degree,free/reduced,none,50,56,54,53.0
female,group A,associate's degree,standard,completed,55,65,62,60.0
female,group C,high school,standard,none,66,71,76,71.0
female,group D,associate's degree,free/reduced,completed,57,74,76,69.0
female,group C,some high school,free/reduced,completed,71,84,87,80.0
female,group C,high school,free/reduced,none,33,41,43,39.0
female,group E,associate's degree,standard,completed,82,85,86,84.0
female,group C,some high school,free/reduced,none,0,17,10,9.0
female,group C,associate's degree,standard,none,69,80,71,73.0
female,group D,some high school,standard,none,59,58,59,58.0
female,group C,some college,standard,none,60,72,74,68.0
female,group C,associate's degree,standard,none,39,64,57,53.0
female,group D,some college,free/reduced,completed,58,63,73,64.0
female,group A,associate's degree,free/reduced,none,41,51,48,46.0
female,group D,some high school,standard,completed,61,74,72,69.0
female,group E,master's degree,standard,none,62,68,68,66.0
female,group B,associate's degree,standard,none,47,49,50,48.0
female,group C,some college,standard,none,73,80,82,78.0
female,group C,some college,free/reduced,none,76,83,88,82.0
female,group D,associate's degree,standard,none,71,71,74,72.0
female,group A,some college,standard,none,58,70,67,65.0
female,group D,some high school,standard,none,73,86,82,80.0
female,group C,bachelor's degree,standard,none,65,72,74,70.0
female,group B,some college,standard,none,79,86,92,85.0
female,group E,some college,standard,completed,63,72,70,68.0
female,group D,some college,free/reduced,none,58,67,62,62.0
female,group D,bachelor's degree,standard,none,65,67,62,64.0
female,group D,associate's degree,standard,none,85,91,89,88.0
female,group C,some college,standard,none,58,67,72,65.0
female,group D,master's degree,standard,none,87,100,100,95.0
female,group B,associate's degree,free/reduced,none,52,76,70,66.0
female,group B,some high school,standard,none,70,64,72,68.0
female,group D,associate's degree,free/reduced,completed,77,89,98,88.0
female,group D,some college,standard,none,51,58,54,54.0
female,group E,bachelor's degree,standard,completed,99,100,100,99.0
female,group B,bachelor's degree,free/reduced,none,75,85,82,80.0
female,group D,bachelor's degree,standard,none,78,82,79,79.0
female,group D,some high school,standard,none,51,63,61,58.0
female,group C,some college,standard,none,55,69,65,63.0
female,group C,bachelor's degree,standard,completed,79,92,89,86.0
female,group C,some college,standard,completed,88,93,93,91.0
female,group B,high school,standard,none,87,95,86,89.0
