gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,average_score
male,group A,associate's degree,free/reduced,none,47,57,44,49.0
male,group C,some college,standard,none,76,78,75,76.0
male,group B,some college,free/reduced,none,40,43,39,40.0
male,group D,high school,free/reduced,completed,64,64,67,65.0
male,group C,associate's degree,standard,none,58,54,52,54.0
male,group D,associate's degree,standard,none,40,52,43,45.0
male,group A,some college,standard,completed,78,72,70,73.0
male,group C,high school,standard,none,88,89,86,87.0
male,group C,master's degree,free/reduced,completed,46,42,46,44.0
male,group D,high school,standard,none,66,69,63,66.0
male,group D,some college,standard,none,44,54,53,50.0
male,group D,bachelor's degree,free/reduced,completed,74,71,80,75.0
male,group A,master's degree,free/reduced,none,73,74,72,73.0
male,group B,some college,standard,none,69,54,55,59.0
male,group C,high school,standard,none,70,70,65,68.0
male,group D,some college,standard,none,40,42,38,40.0
male,group E,some college,standard,none,97,87,82,88.0
male,group E,associate's degree,standard,completed,81,81,79,80.0
male,group B,associate's degree,free/reduced,none,57,56,57,56.0
male,group C,associate's degree,free/reduced,none,55,61,54,56.0
male,group B,some college,free/reduced,completed,59,65,66,63.0
male,group B,associate's degree,standard,none,65,54,57,58.0
male,group C,high school,standard,completed,82,84,82,82.0
male,group E,some college,standard,none,53,55,48,52.0
male,group E,associate's degree,free/reduced,completed,77,69,68,71.0
male,group C,some college,standard,none,53,44,42,46.0
male,group D,high school,standard,none,88,78,75,80.0
male,group D,associate's degree,standard,none,52,55,49,52.0
male,group D,some college,standard,completed,58,59,58,58.0
male,group E,bachelor's degree,free/reduced,completed,79,74,72,75.0
male,group A,some high school,free/reduced,none,39,39,34,37.0
male,group A,associate's degree,free/reduced,none,62,61,55,59.0
male,group B,some high school,standard,none,67,64,61,64.0
male,group D,some high school,free/reduced,none,45,37,37,39.0
male,group B,associate's degree,free/reduced,none,61,58,56,58.0
male,group D,some college,standard,completed,63,55,63,60.0
male,group C,some high school,free/reduced,none,61,57,56,58.0
male,group C,some high school,standard,none,49,49,41,46.0
male,group B,associate's degree,free/reduced,none,44,41,38,41.0
male,group E,some high school,standard,none,30,26,22,26.0
male,group A,bachelor's degree,standard,completed,80,78,81,79.0
male,group B,high school,free/reduced,none,49,45,45,46.0
male,group A,some college,free/reduced,completed,50,47,54,50.0
male,group E,associate's degree,standard,none,72,64,63,66.0
male,group D,high school,free/reduced,none,42,39,34,38.0
male,group C,high school,free/reduced,none,27,34,36,32.0
male,group C,high school,standard,none,71,79,71,73.0
male,group C,associate's degree,free/reduced,completed,43,45,50,46.0
male,group C,associate's degree,free/reduced,completed,78,81,82,80.0
male,group B,some high school,standard,completed,65,66,62,64.0
male,group B,some college,standard,none,79,67,67,71.0
male,group D,bachelor's degree,standard,completed,68,74,74,72.0
male,group B,high school,standard,completed,60,44,47,50.0
male,group C,some college,standard,completed,98,86,90,91.0
male,group E,associate's degree,standard,completed,66,63,64,64.0
male,group C,high school,standard,none,62,55,49,55.0
male,group A,associate's degree,standard,none,54,53,47,51.0
male,group C,high school,standard,none,84,77,74,78.0
male,group B,associate's degree,standard,completed,91,89,92,90.0
male,group D,high school,free/reduced,none,63,57,56,58.0
male,group E,some college,standard,none,83,80,73,78.0
male,group B,some high school,standard,none,72,68,67,69.0
male,group D,some college,standard,completed,65,77,74,72.0
male,group D,master's degree,standard,none,82,82,74,79.0
male,group D,master's degree,standard,none,89,84,82,85.0
male,group C,some high school,free/reduced,completed,53,37,40,43.0
male,group E,some college,free/reduced,completed,87,74,70,77.0
male,group D,bachelor's degree,free/reduced,completed,74,79,75,76.0
male,group C,bachelor's degree,standard,none,58,55,48,53.0
male,group B,some high school,standard,completed,51,54,41,48.0
male,group E,high school,standard,none,70,55,56,60.0
male,group D,some college,standard,completed,71,61,69,67.0
male,group A,high school,standard,none,57,43,47,49.0
male,group D,some college,standard,none,88,73,78,79.0
male,group B,some high school,standard,none,88,84,75,82.0
male,group C,associate's degree,free/reduced,none,73,68,66,69.0
male,group E,associate's degree,free/reduced,completed,100,100,93,97.0
male,group A,some high school,standard,completed,62,67,69,66.0
male,group A,bachelor's degree,standard,none,77,67,68,70.0
male,group D,bachelor's degree,standard,none,54,49,47,50.0
male,group D,some high school,standard,none,62,67,61,63.0
male,group B,some college,free/reduced,none,60,60,60,60.0
male,group D,associate's degree,free/reduced,none,66,62,64,64.0
male,group B,associate's degree,free/reduced,completed,82,78,74,78.0
male,group B,master's degree,free/reduced,none,49,53,52,51.0
male,group C,high school,standard,none,52,53,49,51.0
male,group C,high school,free/reduced,completed,53,51,51,51.0
male,group A,high school,standard,completed,72,73,74,73.0
male,group E,some high school,standard,none,94,88,78,86.0
male,group C,master's degree,free/reduced,completed,62,68,75,68.0
male,group C,some high school,free/reduced,completed,45,52,49,48.0
male,group C,associate's degree,free/reduced,completed,65,67,65,65.0
male,group E,high school,standard,none,80,76,65,73.0
male,group D,some high school,standard,completed,62,66,68,65.0
male,group B,some high school,free/reduced,none,48,52,45,48.0
male,group D,some college,standard,completed,76,83,79,79.0
male,group D,some college,standard,completed,77,62,62,67.0
male,group D,associate's degree,standard,none,61,55,52,56.0
male,group C,some high school,free/reduced,completed,59,69,65,64.0
male,group E,high school,free/reduced,none,55,56,51,54.0
